51,42,14,62,1,7,29,6,11,5,63,35,1,26,6,12,60,27,44,56,48,61,21,40,17,39,11,47,2,15,3,17,63,24,57,39,11,12,37,22,18,13,15,59,28,24,63,34,54,47,18,43,28,40,57,14,30,45,52,10,16,27,41,60
1,63,11,5,14,58,14,44,46,40,8,1,51,10,58,22,43,54,37,61,46,0,57,9,5,21,30,60,32,44,53,12,51,2,57,6,34,53,31,51,49,39,52,42,35,13,25,29,11,44,36,10,29,56,16,54,59,0,7,48,40,4,30,19
26,6,9,38,19,61,49,4,9,40,23,36,51,46,34,58,11,26,29,50,3,13,62,7,62,42,33,60,55,54,41,21,38,52,19,4,60,2,59,51,58,0,63,1,18,53,13,39,18,63,10,5,20,5,38,14,53,32,45,49,9,17,48,41
12,46,11,63,20,2,34,30,8,26,57,14,19,47,11,37,42,40,8,23,3,0,50,63,37,13,1,32,22,25,22,12,50,38,43,16,38,29,10,58,11,28,34,17,18,41,39,52,56,0,52,27,6,11,0,46,25,48,59,41,38,59,6,62
29,21,62,44,18,20,53,56,50,26,18,52,19,12,24,55,59,35,21,14,10,15,40,10,4,44,27,63,61,0,31,62,44,13,46,4,58,1,11,43,32,43,48,60,33,50,55,6,2,1,22,21,5,30,34,52,42,35,58,45,31,59,3,63
50,39,17,62,26,33,16,44,4,48,30,59,9,47,2,22,19,21,45,24,36,14,9,9,59,42,31,36,51,20,19,8,42,61,12,53,11,29,44,57,34,16,27,17,55,0,12,5,43,32,22,45,16,37,13,28,37,18,60,15,45,37,33,61
39,21,15,16,38,2,40,16,1,63,30,23,59,0,54,36,31,55,17,63,52,5,59,1,38,14,3,19,10,2,48,61,3,56,10,42,27,0,21,56,4,24,27,7,37,45,42,39,36,0,7,0,28,18,53,35,38,10,62,6,25,22,8,43
23,32,15,9,61,31,14,1,58,20,39,45,42,11,63,4,43,23,21,61,56,62,4,48,9,55,47,0,4,28,46,2,43,53,21,25,6,11,15,40,8,3,54,1,18,6,13,60,5,5,10,60,32,34,29,27,58,62,13,4,55,47,1,27
27,7,57,12,20,26,32,54,45,44,49,14,63,45,59,0,46,59,28,13,13,61,47,3,7,30,36,27,62,6,41,11,7,15,56,49,9,24,53,4,39,29,38,55,33,20,40,31,63,2,32,3,50,62,53,21,13,38,60,58,32,51,36,32
16,49,11,58,21,33,22,16,45,35,53,18,24,58,37,6,15,56,51,46,13,25,18,26,5,0,63,42,39,51,48,61,43,10,59,20,48,8,60,57,16,30,37,25,28,61,12,60,3,4,1,3,8,32,57,28,50,34,19,1,37,62,6,14
31,9,57,56,7,13,60,39,11,44,30,8,25,60,6,2,44,32,51,18,29,1,10,45,10,42,47,20,1,34,14,61,61,46,0,36,16,54,60,63,1,57,48,21,13,25,33,62,2,12,24,55,32,32,49,51,52,48,58,30,46,3,15,41
31,37,26,12,31,17,36,0,58,3,30,25,25,0,6,12,44,41,21,24,31,22,57,23,49,23,63,20,60,62,60,19,39,0,0,51,63,44,60,29,30,20,48,7,13,3,33,8,2,48,24,5,28,41,38,27,51,56,58,55,16,3,6,54
23,46,44,33,56,44,19,26,19,55,47,40,51,63,2,19,36,32,4,13,39,37,1,6,50,20,1,57,33,29,9,28,10,5,7,4,60,54,23,8,45,38,41,29,4,41,23,57,2,0,56,17,8,62,46,11,0,31,34,12,20,9,5,63
16,35,32,28,19,55,36,17,25,19,30,52,27,58,0,2,53,28,42,25,12,4,20,33,38,14,21,38,39,23,8,22,3,8,20,37,13,43,36,42,24,62,57,33,18,48,9,41,6,48,57,55,59,62,59,63,51,38,18,32,5,23,21,27
52,37,32,37,41,61,4,51,11,55,60,44,6,15,5,4,15,54,60,16,36,20,43,54,47,42,61,42,59,51,5,2,61,20,31,45,24,55,7,3,45,31,5,7,17,6,53,27,18,58,46,33,63,49,46,27,22,62,62,14,52,18,14,30
59,12,20,5,31,7,3,1,45,51,18,40,63,60,37,19,44,23,44,44,36,4,63,56,16,0,21,57,17,63,46,41,33,8,43,4,48,11,23,45,22,1,7,1,34,21,53,28,6,49,57,61,53,2,60,54,26,0,38,32,48,47,52,43
38,3,52,45,21,50,36,32,47,17,50,44,30,26,50,12,31,41,32,63,34,16,22,59,16,4,47,43,58,55,8,21,43,1,60,59,15,60,7,30,30,62,51,36,7,28,23,29,29,42,13,5,39,5,61,53,11,0,43,62,25,6,54,57
26,18,16,35,28,50,19,2,61,40,13,27,33,11,37,59,44,41,9,44,57,54,14,6,36,46,52,57,16,18,46,41,1,20,56,12,55,37,7,57,32,58,0,1,21,35,18,29,55,46,57,47,54,20,48,49,30,62,17,4,23,37,32,27
59,44,52,37,19,17,49,25,61,28,1,52,6,30,41,12,25,4,8,39,58,43,53,23,13,27,62,2,29,31,60,3,58,58,59,42,25,60,22,9,24,30,6,35,55,31,50,61,57,48,44,13,39,20,47,32,42,0,15,43,63,5,40,44
23,3,22,25,44,61,49,34,55,17,13,8,2,8,43,0,54,42,52,43,30,8,16,4,56,4,19,47,39,23,60,61,3,35,20,5,1,54,11,21,48,0,57,7,60,41,47,5,10,56,6,61,31,5,45,28,33,31,16,51,32,21,39,10
26,46,14,5,31,50,31,60,44,52,18,40,33,31,48,8,36,50,3,44,44,61,63,57,2,8,39,55,59,2,53,13,1,17,58,42,55,43,22,21,1,30,55,29,44,25,10,45,52,46,24,0,47,15,53,49,37,62,62,4,32,62,22,41
52,57,26,35,44,58,22,38,1,9,37,52,31,40,0,23,36,9,50,29,34,43,12,33,6,4,23,58,24,18,35,53,47,9,21,30,63,25,48,4,32,4,55,36,42,28,25,41,18,2,24,51,29,38,16,54,31,62,19,61,51,17,39,44
62,47,14,49,31,36,36,11,1,24,58,3,30,8,2,34,54,42,55,43,4,40,5,23,6,4,21,63,62,31,9,45,61,59,24,22,39,34,21,24,10,56,37,7,15,61,1,4,34,30,6,59,3,33,58,28,33,38,33,12,27,50,52,2
38,35,14,5,58,44,32,17,1,25,54,25,63,26,12,45,24,28,28,25,56,52,50,7,28,31,15,1,4,14,46,19,3,55,33,56,48,2,62,22,30,36,42,7,4,19,13,62,5,57,46,0,44,41,12,8,33,0,36,43,39,17,39,11
0,9,60,33,9,61,22,51,26,46,25,50,63,45,42,11,54,57,3,8,39,5,11,57,43,46,36,2,56,24,9,13,6,46,7,12,34,0,7,48,10,7,44,1,19,37,23,62,2,27,5,55,33,15,47,27,18,31,59,12,20,41,49,57
14,18,14,14,23,47,60,17,32,9,60,8,37,9,37,11,54,28,50,13,58,40,43,7,42,4,63,1,29,47,60,15,53,56,38,12,39,51,40,45,22,36,57,5,21,48,26,46,12,0,52,17,39,43,13,2,27,6,59,14,21,50,32,41
59,24,17,14,21,61,49,20,44,28,44,40,23,16,62,11,2,32,51,44,48,52,40,4,51,60,10,53,62,14,21,19,3,56,0,29,10,43,7,4,60,50,19,1,60,28,50,41,18,56,49,55,26,54,13,58,0,46,62,27,48,55,8,36
26,63,26,12,4,61,53,35,11,5,15,36,19,40,34,50,62,32,52,23,15,43,34,49,6,42,36,18,1,63,9,36,14,20,7,33,24,59,22,45,10,47,27,59,6,61,49,60,56,57,12,4,0,52,37,2,14,46,30,15,29,38,27,44
12,46,42,35,34,28,39,55,17,26,33,40,63,11,0,12,59,8,57,48,34,62,43,7,61,56,13,5,38,5,52,53,47,2,62,36,58,20,15,45,1,59,49,53,44,25,40,4,56,57,24,55,3,25,37,32,33,23,16,14,61,6,60,36
20,3,52,49,9,41,34,38,15,5,37,53,36,58,55,12,46,60,50,8,0,61,43,63,17,18,10,45,29,31,31,53,61,56,62,25,10,0,40,21,1,50,55,1,4,35,13,5,39,56,54,2,48,5,13,25,59,46,23,20,48,60,37,51
59,3,14,14,20,41,39,51,26,26,37,28,63,8,19,12,54,15,47,18,48,32,43,63,0,4,10,5,35,51,1,41,14,61,7,61,35,54,22,9,52,13,27,1,34,30,10,60,2,56,24,17,32,25,29,2,58,46,5,50,29,15,27,6
24,36,46,58,31,47,62,4,44,19,18,44,37,9,0,50,54,38,57,8,56,22,36,54,28,48,10,11,29,57,1,25,61,55,33,61,49,60,7,4,10,3,27,62,59,35,34,60,43,8,6,45,27,49,12,54,37,62,59,51,63,32,22,41
59,6,9,33,61,58,49,0,37,28,50,3,14,58,59,50,36,52,57,15,4,37,53,7,17,5,63,40,1,10,9,2,61,54,62,42,14,54,62,45,10,51,57,1,18,19,13,41,60,57,44,17,24,56,31,25,0,6,24,16,29,30,52,16
51,47,38,63,4,56,53,51,42,22,50,3,37,44,34,45,31,11,8,48,17,25,5,40,61,56,7,54,4,10,21,21,35,45,2,12,55,48,0,9,39,47,57,1,18,8,49,60,56,8,24,60,31,59,57,28,42,33,14,12,27,9,39,36
19,36,20,35,24,61,40,51,54,39,18,44,14,11,50,22,31,8,3,13,34,14,59,7,6,27,7,58,54,8,15,53,35,0,46,26,39,20,56,4,1,47,17,59,34,48,10,4,12,49,24,22,31,5,16,25,33,62,16,25,29,8,39,36
59,51,52,35,19,32,29,32,14,24,33,40,19,58,0,50,28,39,51,18,37,32,43,7,43,56,52,45,48,18,38,5,47,1,62,61,28,54,43,21,10,5,51,56,38,3,49,46,12,2,54,40,3,41,46,16,31,63,30,14,29,6,55,22
